Datetime,GroupCount,mean_Sentiment,median_Sentiment,max_Sentiment,min_Sentiment,var_Sentiment,Open,High,Low,Close,Volume
2022-10-11 23:59:00,21,0.0416224129008263,0,0.369230769230769,-0.163888888888889,0.0110066688844948,19000,19000,18992,18996,0.09308
2022-10-12 00:00:00,53,0.0278848854181094,0,0.433333333333333,-0.152380952380952,0.0122435410300636,18999,18999,18995,18996,0.03068
2022-10-12 00:01:00,19,0.0228792569659443,0,0.325,0,0.00566061686800623,19000,19007,19000,19007,0.01751
2022-10-12 00:02:00,19,0.0227860182946527,0,0.241666666666667,-0.24,0.0115760125844757,19015,19015,19005,19006,0.14911418
2022-10-12 00:03:00,16,0.0420233585858586,0,0.26,0,0.00559670457733905,18998,19000,18998,19000,0.00859
2022-10-12 00:04:00,10,0.0122825091575092,0,0.10952380952381,-0.00208333333333333,0.00119198791209723,19000,19000,19000,19000,0
2022-10-12 00:05:00,14,0.060966810966811,0,0.325,0,0.0130581133232648,18995,18997,18995,18996,0.06505
2022-10-12 00:06:00,17,0.0124357015533486,0,0.28,-0.333333333333333,0.0134606415568982,18998,18999,18998,18999,0.02836
2022-10-12 00:07:00,10,0.05015,0,0.144,0,0.00429047191358025,18997,19001,18997,18999,0.05561932
2022-10-12 00:08:00,19,0.0695426519196542,0,0.411111111111111,-0.165217391304348,0.0201467015219551,18999,19001,18999,19001,0.02623
2022-10-12 00:09:00,8,0.0399886363636364,0,0.290909090909091,0,0.0103223386953955,19002,19003,19001,19001,0.02050435
2022-10-12 00:10:00,21,0.068118944547516,0,0.3,0,0.013273981086597,18999,19003,18999,19003,0.08208912
2022-10-12 00:11:00,7,0.0143435511856564,0,0.0846153846153846,0,0.00099481809475417,19004,19004,19001,19002,0.17384536
2022-10-12 00:12:00,13,0.0122571872571873,0,0.26,-0.3,0.0181603974869126,19005,19011,19005,19005,0.11223361
2022-10-12 00:13:00,9,-0.00236201888162672,0,0.0823529411764706,-0.0675,0.00208326639267423,19008,19008,19008,19008,0.01862
2022-10-12 00:14:00,15,0.0365570638511815,0,0.253333333333333,0,0.00480522263095593,19011,19014,19011,19012,0.04655811
2022-10-12 00:15:00,17,0.0100159154570919,0,0.185714285714286,-0.5,0.0211305969030174,19015,19015,19014,19014,0.01579
2022-10-12 00:16:00,10,-0.00841642228739003,0,0,-0.0454545454545454,0.00031735479857701,19016,19016,19015,19015,0.03105
2022-10-12 00:17:00,17,0.0399159663865546,0,0.203571428571429,0,0.00559773909563825,19021,19021,19021,19021,0.0161
2022-10-12 00:18:00,14,0.0724518438954529,0,0.633333333333333,-0.0333333333333333,0.0293196884126922,19022,19025,19022,19025,0.12584833
2022-10-12 00:19:00,61,0.0219696962096434,0,0.44,-0.0785714285714286,0.00577689242642328,19025,19028,19023,19023,0.06765
2022-10-12 00:20:00,61,0.0145421754945746,0,0.225,-0.331578947368421,0.00561833393011422,19023,19027,19022,19024,0.29612
2022-10-12 00:21:00,50,0.0241822247927511,0,0.25,-0.0476190476190476,0.0040927149693912,19023,19023,19022,19022,0.032
2022-10-12 00:22:00,55,0.0318028685697557,0,0.64,-0.245454545454545,0.0143701631959028,19023,19026,19023,19026,0.06495
2022-10-12 00:23:00,48,0.0395819923787628,0,0.24375,-0.175,0.00658759597808729,19028,19028,19028,19028,0.01576
